ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
7;0,0;-0,02;42,02;-0,04;0,01;0,07;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,25;2,31;0,0;0,0;-0,0;0;0
17;0,0;-0,01;42,02;-0,02;0,02;0,31;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,67;10,4;0,0;0,0;-0,0;0;0
27;0,0;-0,01;42,02;-0,03;0,02;0,08;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,67;2,77;0,0;0,0;-0,0;0;0
37;0,0;-0,01;42,02;-0,03;0,02;0,3;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,67;10,17;0,0;0,0;-0,0;0;0
47;0,0;-0,02;42,02;-0,03;0,01;0,12;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,46;3,93;0,0;0,0;-0,0;0;0
57;0,0;-0,01;42,02;-0,03;0,01;0,28;0;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,46;9,47;0,0;0,0;-0,0;0;0
67;0,0;-0,01;42,02;-0,04;0,02;0,1;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,0;0,67;3,24;0,0;0,0;-0,0;0;0
77;0,0;-0,01;42,02;-0,04;0,02;0,3;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,01;0,67;9,94;0,0;0,0;-0,0;0;0
87;0,0;-0,01;42,01;-0,09;0,02;0,09;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,01;0,67;3,0;0,0;0,0;-0,0;0;0
97;0,0;-0,02;42,01;-0,17;0,03;0,3;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,01;1,09;9,94;0,0;0,0;-0,0;0;0
107;0,0;-0,01;41,99;-0,14;0,0;0,1;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,01;0,04;3,23;0,0;0,0;-0,0;0;0
117;0,0;-0,02;42,01;-0,22;0,02;0,33;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,01;0,67;11,09;0,0;0,0;-0,0;0;0
127;0,0;-0,01;42,02;-0,08;0,03;0,12;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,02;1,09;4,16;0,0;0,0;-0,0;0;0
137;0,0;-0,02;42,02;-0,07;0,03;0,32;500;0;0;2;0,0;0,0;30;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,02;0,88;10,63;0,0;0,0;-0,0;0;0
147;0,0;-0,02;42,02;-0,11;0,03;0,11;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,02;0,88;3,7;0,0;0,0;-0,0;0;0
157;0,0;-0,01;42,02;-0,03;0,01;0,33;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,02;0,46;11,09;0,0;0,0;-0,0;0;0
167;0,0;-0,02;42,01;-0,07;0,0;0,1;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,04;3,47;0,0;0,0;-0,0;0;0
177;0,0;-0,02;42,02;-0,07;0,03;0,32;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,88;10,86;0,0;0,0;-0,0;0;0
187;0,0;-0,01;42,02;-0,04;-0,01;0,12;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,38;4,16;0,0;0,0;-0,0;0;0
197;0,0;-0,01;42,0;-0,14;0,0;0,29;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,04;9,7;0,0;0,0;-0,0;0;0
207;0,0;-0,01;42,02;-0,12;0,01;0,08;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,25;2,54;0,0;0,0;-0,0;0;0
217;0,0;-0,01;42,02;-0,13;0,03;0,27;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,03;0,88;9,01;0,0;0,0;-0,0;0;0
227;0,0;-0,02;42,02;-0,15;0,05;0,05;500;0;0;2;0,0;0,0;31;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,04;1,51;1,85;0,0;0,0;-0,0;0;0
237;0,0;-0,02;42,02;-0,15;0,03;0,27;500;0;0;2;0,32;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,33;1,09;9,24;0,0;0,0;-0,0;0;0
247;0,0;-0,03;42,02;-0,14;0,04;0,11;500;0;0;2;0,36;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,37;1,3;3,7;0,0;0,0;-0,0;0;0
257;0,0;-0,02;42,02;-0,11;0,03;0,31;500;0;0;2;0,4;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,41;0,88;10,4;0,0;0,0;-0,0;0;0
267;0,0;-0,01;42,01;-0,09;0,02;0,11;500;0;0;0;0,43;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,44;0,67;3,7;0,0;0,0;-0,0;0;0
277;0,0;-0,03;42,02;-0,07;0,03;0,32;500;0;0;0;0,46;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,47;0,88;10,86;0,0;0,0;-0,0;0;0
287;0,0;-0,02;42,02;-0,04;0,03;0,12;500;0;0;0;0,47;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,48;1,09;4,16;0,0;0,0;-0,0;0;0
297;0,0;-0,03;42,02;-0,06;0,01;0,32;500;0;0;0;0,45;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,46;0,25;10,86;0,0;0,0;-0,0;0;0
307;0,0;-0,02;42,02;-0,05;0,01;0,13;500;0;0;0;0,41;9,8;32;32;254,0;254,0;0;0,0;0,8;136;90,5;-0,0;0,42;0,25;4,39;0,0;0,0;-0,0;0;0
