ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
8;0,0;-0,02;42,02;-0,02;0,01;0,11;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,25;3,7;0,0;0,0;-0,0;0;0
18;0,0;-0,03;42,02;-0,03;0,02;0,22;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,67;7,39;0,0;0,0;-0,0;0;0
28;0,0;-0,02;42,02;-0,02;0,03;0,1;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,88;3,47;0,0;0,0;-0,0;0;0
38;0,0;-0,01;42,02;-0,03;0,02;0,23;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,67;7,86;0,0;0,0;-0,0;0;0
48;0,0;-0,03;42,02;-0,02;0,02;0,09;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,67;3,0;0,0;0,0;-0,0;0;0
58;0,0;-0,01;42,02;-0,03;0,02;0,24;0;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,67;8,09;0,0;0,0;-0,0;0;0
68;0,0;-0,01;42,02;-0,03;0,01;0,11;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,46;3,7;0,0;0,0;-0,0;0;0
78;0,0;-0,01;42,02;-0,06;0,03;0,23;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,0;0,88;7,86;0,0;0,0;-0,0;0;0
88;0,0;-0,02;42,02;-0,07;0,01;0,1;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,01;0,25;3,24;0,0;0,0;-0,0;0;0
98;0,0;-0,02;42,02;-0,1;0,02;0,24;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,01;0,67;8,09;0,0;0,0;-0,0;0;0
108;0,0;-0,03;42,02;-0,13;0,03;0,1;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,01;0,88;3,24;0,0;0,0;-0,0;0;0
118;0,0;-0,03;42,02;-0,14;0,01;0,25;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,01;0,46;8,32;0,0;0,0;-0,0;0;0
128;0,0;-0,01;42,02;-0,07;-0,01;0,09;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,02;0,38;3,0;0,0;0,0;-0,0;0;0
138;0,0;-0,02;42,02;-0,07;0,03;0,26;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,02;1,09;8,78;0,0;0,0;-0,0;0;0
148;0,0;-0,01;42,04;-0,12;0,03;0,12;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,02;1,09;4,16;0,0;0,0;-0,0;0;0
158;0,0;-0,02;42,02;-0,18;0,01;0,27;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,02;0,46;9,01;0,0;0,0;-0,0;0;0
168;0,0;-0,01;42,02;-0,15;0,01;0,08;550;0;0;2;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,02;0,25;2,54;0,0;0,0;-0,0;0;0
178;0,0;-0,02;42,02;-0,05;0,0;0,24;550;0;0;0;0,0;0,0;47;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,03;0,04;8,09;0,0;0,0;-0,0;0;0
188;0,0;-0,02;42,02;-0,07;0,0;0,1;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,03;0,04;3,24;0,0;0,0;-0,0;0;0
198;0,0;-0,01;42,02;-0,1;0,01;0,23;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,03;0,46;7,63;0,0;0,0;-0,0;0;0
208;0,0;-0,03;42,02;-0,21;0,03;0,09;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,03;0,88;3,0;0,0;0,0;-0,0;0;0
218;0,0;-0,02;42,0;-0,08;-0,0;0,23;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,04;0,17;7,85;0,0;0,0;-0,0;0;0
228;0,0;-0,01;42,02;-0,06;0,03;0,1;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,04;0,88;3,47;0,0;0,0;-0,0;0;0
238;0,0;-0,02;42,02;-0,11;0,01;0,22;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,04;0,46;7,39;0,0;0,0;-0,0;0;0
248;0,0;-0,01;42,01;-0,07;-0,02;0,05;585;0;0;0;0,0;0,0;48;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,04;0,59;1,62;0,0;0,0;-0,0;0;0
258;0,0;-0,01;42,02;-0,11;0,03;0,23;585;0;0;0;0,29;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,38;1,09;7,63;0,0;0,0;-0,0;0;0
268;0,0;-0,02;42,02;-0,18;0,02;0,07;585;0;0;0;0,32;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,41;0,67;2,31;0,0;0,0;-0,0;0;0
278;0,0;-0,01;42,02;-0,05;-0,0;0,2;585;0;0;0;0,36;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,47;0,17;6,7;0,0;0,0;-0,0;0;0
288;0,0;-0,02;42,01;-0,11;0,03;0,06;585;0;0;0;0,36;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,47;0,88;2,08;0,0;0,0;-0,0;0;0
298;0,0;-0,01;42,02;-0,16;0,01;0,21;585;0;0;0;0,38;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,49;0,46;6,93;0,0;0,0;-0,0;0;0
308;0,0;-0,02;42,01;-0,04;0,01;0,09;585;0;0;0;0,4;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,51;0,25;3,0;0,0;0,0;-0,0;0;0
318;0,0;-0,01;42,02;-0,18;0,05;0,19;585;0;0;0;0,36;12,3;49;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,47;1,51;6,24;0,0;0,0;-0,0;0;0
328;0,0;-0,02;42,02;-0,07;0,01;0,08;585;0;0;0;0,38;12,6;50;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,5;0,25;2,54;0,0;0,0;-0,0;0;0
338;0,0;-0,01;42,01;-0,03;0,01;0,2;585;0;0;0;0,38;12,6;50;32;254,0;254,0;0;0,0;0,5;50;90,5;-0,0;0,5;0,25;6,7;0,0;0,0;-0,0;0;0
