ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
15488;0,0;-0,02;42,02;-0,04;0,01;0,2;0;0;0;0;0,09;4,2;48;32;254,0;254,0;0;0,14;2,1;109;90,5;-0,0;0,04;0,46;6,7;12,37;3,99;-0,0;0;0
15498;0,0;-0,02;42,02;-0,03;0,02;0,06;0;0;0;0;0,0;4,2;48;32;254,0;254,0;0;0,14;2,1;109;90,5;-0,0;0,0;0,67;2,08;12,37;0,06;-0,0;0;0
15508;0,0;-0,01;42,02;-0,02;0,01;0,24;0;0;0;0;0,0;4,2;48;32;254,0;254,0;0;0,14;2,1;109;90,5;-0,0;0,0;0,46;8,09;12,37;0,13;-0,0;0;0
15518;0,0;-0,01;42,02;-0,03;0,02;0,11;0;0;0;0;0,01;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,0;0,67;3,7;12,41;0,19;-0,0;0;0
15528;0,0;-0,01;42,02;-0,04;0,01;0,25;0;0;0;0;0,01;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,0;0,46;8,32;12,41;0,25;-0,0;0;0
15538;0,0;-0,01;42,02;-0,03;0,01;0,09;0;0;0;0;0,01;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,46;3,0;12,41;0,31;-0,0;0;0
15548;0,0;-0,01;42,02;-0,03;0,02;0,23;0;0;0;0;0,01;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,67;7,86;12,41;0,37;-0,0;0;0
15558;0,0;-0,01;42,02;-0,04;0,01;0,07;0;0;0;0;0,02;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,46;2,31;12,41;0,44;-0,0;0;0
15568;0,0;-0,02;42,02;-0,04;0,01;0,21;0;0;0;0;0,02;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,46;6,93;12,41;0,5;-0,0;0;0
15578;0,0;-0,01;42,02;-0,03;0,01;0,06;0;0;0;0;0,03;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,25;2,08;12,41;0,56;-0,0;0;0
15588;0,0;-0,02;42,02;-0,04;0,02;0,24;0;0;0;0;0,03;4,2;48;32;254,0;254,0;0;0,14;2,0;110;90,5;-0,0;0,01;0,67;8,09;12,41;0,62;-0,0;0;0
